BandWidth,POI_All,POI_Sel,RN
250,0.7376986624178237,0.7407594498246424,0.6381093433171668
500,0.7485213918119672,0.7741887323643267,0.6926465476378574
750,0.7420582899667634,0.7791575999865055,0.7099335260957834
1000,0.73528382301468,0.774004771013986,0.7190085614145116
1250,0.7244956622689727,0.7636860540202072,0.7230000379079846
1500,0.723927823306751,0.7540245525217861,0.7249889734788194
1750,0.7180593110745357,0.7457485778955832,0.7235631484135235
2000,0.7169634168071604,0.7361658655420361,0.7206842855850035
2250,0.7100698821506377,0.7247655554589839,0.7156664030057345
2500,0.7030283335274967,0.7168782845393664,0.7113688836049906
