nodes,RN,NTL,POI,RN_NTL,RN_POI,NTL_POI,RN_NTL_POI
2,0.7249889734788194,0.7410191117270905,0.7791575999865055,0.7410191117270905,0.7791575999865055,0.7791575999865055,0.7791575999865055
3,0.7249889734788194,0.7218602721896029,0.7791575999865055,0.6435484422557367,0.7791575999865055,0.7791575999865055,0.7791575999865055
4,0.7249889734788194,0.7218602721896029,0.7791575999865055,0.6435484422557367,0.7791575999865055,0.7791575999865055,0.7791575999865055
5,0.7249889734788194,0.7218602721896029,0.7575707690120399,0.7512457417674169,0.7745243930905695,0.7659111041234464,0.7659111041234464
6,0.7249889734788194,0.7218602721896029,0.7575707690120399,0.7512457417674169,0.7745243930905695,0.7659111041234464,0.7659111041234464
7,0.7129154662356826,0.7218602721896029,0.7575707690120399,0.7602260124293712,0.7745243930905695,0.7659111041234464,0.7659111041234464
8,0.7129154662356826,0.7218602721896029,0.7575707690120399,0.7602260124293712,0.7745243930905695,0.7659111041234464,0.7659111041234464
9,0.7129154662356826,0.7218602721896029,0.7575707690120399,0.7459228972380514,0.7745243930905695,0.7688261720911946,0.7688261720911946
10,0.7129154662356826,0.7218602721896029,0.7575707690120399,0.7459228972380514,0.7745243930905695,0.7792950756337483,0.786454704145625
11,0.7129154662356826,0.7218602721896029,0.7575707690120399,0.7459228972380514,0.7745243930905695,0.7933154013015186,0.7958769961171779
12,0.7129154662356826,0.7218602721896029,0.7575707690120399,0.7459228972380514,0.7812754217804974,0.7933154013015186,0.7958769961171779
13,0.7129154662356826,0.7218602721896029,0.7575707690120399,0.744193115327136,0.7812754217804974,0.7933154013015186,0.7958769961171779
14,0.7129154662356826,0.7218602721896029,0.7575707690120399,0.744193115327136,0.7812754217804974,0.7933154013015186,0.7958769961171779
15,0.7129154662356826,0.7218602721896029,0.7724007414049127,0.744193115327136,0.7812754217804974,0.7933154013015186,0.7958769961171779
16,0.7129154662356826,0.7218602721896029,0.7724007414049127,0.7579405976086006,0.7812754217804974,0.7977981925867498,0.7903594386600271
17,0.7129154662356826,0.7218602721896029,0.7724007414049127,0.7582223814082916,0.7812754217804974,0.7977981925867498,0.7903594386600271
18,0.7129154662356826,0.7218602721896029,0.7724007414049127,0.7582223814082916,0.7812754217804974,0.7977981925867498,0.7950957387229638
19,0.7129154662356826,0.722167568747116,0.7724007414049127,0.7586104890943551,0.7812754217804974,0.7977981925867498,0.7950957387229638
20,0.7129154662356826,0.722167568747116,0.7724007414049127,0.7586104890943551,0.7812754217804974,0.7977981925867498,0.7950957387229638
21,0.7129154662356826,0.722167568747116,0.7724007414049127,0.7588487960681196,0.7812754217804974,0.7977981925867498,0.7950957387229638
22,0.7129154662356826,0.722167568747116,0.7724007414049127,0.7588487960681196,0.7812754217804974,0.7985359178864522,0.7950957387229638
23,0.7129154662356826,0.722167568747116,0.7724007414049127,0.7588487960681196,0.7812754217804974,0.7985359178864522,0.7950957387229638
24,0.7129154662356826,0.722167568747116,0.7724007414049127,0.7588487960681196,0.7812754217804974,0.7985359178864522,0.7950957387229638
25,0.7129154662356826,0.722167568747116,0.7724007414049127,0.7589869506441913,0.7790168518071465,0.7985359178864522,0.7953572744536719
26,0.7129154662356826,0.722167568747116,0.7724007414049127,0.7594825061585901,0.7790168518071465,0.7986995357424048,0.7963759604907523
27,0.7129154662356826,0.722167568747116,0.7724007414049127,0.7594314417014,0.7804332745042362,0.7988445467289879,0.7963759604907523
28,0.7129154662356826,0.722167568747116,0.7724007414049127,0.7594314417014,0.7793473741299828,0.7967900721020521,0.7961992252430418
29,0.7129154662356826,0.722167568747116,0.7724007414049127,0.7594314417014,0.7793473741299828,0.7967900721020521,0.7961992252430418
30,0.7129154662356826,0.722167568747116,0.7724007414049127,0.7598726378034156,0.7793473741299828,0.7967900721020521,0.797138419408366
